id,title,description,url,street_address,locality,region,postal_code,country,latitude,longitude,email,telephone,events_count
202389911,Gerding Theater at the Armory,,https://PCS.org/inside-pcs/directions,128 NW 11th Ave,Portland,OR,97209,US,45.52388,-122.6821,,,34
202389921,Oregon Convention Center,,http://www.oregoncc.org/,777 NE Martin Luther King Jr. Blvd.,Portland,OR,97232,US,45.52849,-122.6617,ask@oregoncc.org,503.235.7575,79
202389965,Free Geek,"FREE GEEK is a 501(c)3 nonprofit that sustainably reuses technology, enables digital access, and provides education to create a community that empowers people to realize their potential.",http://www.freegeek.org/classes,1731 SE 10th Avenue,Portland,OR,97214,US,45.51034,-122.6559,info@freegeek.org,(503)232-9350,1147
202389972,AboutUs,,http://AboutUs.org,"107 SE Washington St., Suite 520",Portland,Oregon,97214,US,45.51925,-122.6643,info@AboutUs.org,503.488.5763,97
202389973,eROI,,,"505 NW Couch, Suite 300",Portland,Oregon,97209,United States,45.5238,-122.6755,,,12
202390000,House of Louie,"Open daily 10am-10pm.<br>\r\nLink to <a href=\http://maps.google.com/maps?sourceid=navclient&ie=UTF-8&rlz=1T5GGLL_enUS263US263&um=1&q=house+of+louie&near=Portland,+OR&fb=1&view=text&latlng=45524548,-122673760,721915639339784171&dtab=2&reviews=1&sa=X&oi=local_result&resnum=1&ct=result\>revieiws</a>",,331 Nw Davis St,Portland,OR,97209,US,45.52454,-122.6737,,(503) 228-9898,12
202390005,Portland State University (PSU) - Smith Memorial Center,,http://www.pdx.edu/profiles/5228/,1825 SW Broadway,Portland,OR,97201,US,45.51162,-122.6838,,,33
202390009,PSU Business Accelerator,The PSU Business Accelerator is a business incubator and accelerator for high technology start-ups. It is sponsored by Portland State University as an economic development effort and a means of providing a Living Laboratory for faculty and students who want to work with entrepreneurial start-ups.,http://PDX.edu/accelerator,2828 SW Corbett Ave,Portland,OR,97201,US,45.50238,-122.6751,accelerator@pdx.edu,503-725-2312,83
202390010,Portland Business Alliance (PBA),Portland Business Alliance,http://www.portlandalliance.com,200 Sw Market St,Portland,OR,97201,US,45.5116,-122.6786,,503.224.8684 ,11
202390020,Bellingham Technical College,,http://www.btc.ctc.edu,3028 Lindbergh Avenue,Bellingham,WA,98225,US,48.7652,-122.5122,, (360) 752-7000,3
202390027,Rheinlander German Restaurant,,http://www.rheinlander.com,5035 N.E. Sandy Boulevard,Portland,OR,97213,US,45.53958,-122.6116,,503 288 5503,2
202390031,PNCA Graduate Studios,null,null,1432 NW Johnson St.,Portland,Oregon,null,null,45.5285,-122.686,null,null,2
202390038,Lucky Labrador Beer Hall,"Lucky Labrador Beer Hall (1945 NW Quimby) is located in an old Freightliner Trucking warehouse in the final frontier of inner Northwest Portland. With it's wide open feel and the pub resident five ton crane hovering above the tables, the Lab makes for a very casual place to hang out for a pint. Serving bento, sandwiches, salads, and other pub fare, our pub is a great place to chill out by yourself or congregate with a group of friends, family, or associates.",http://www.luckylab.com,1945 NW Quimby,Portland,OR,97209,US,45.53349,-122.6915,beerhall@luckylab.com,(503) 517-4352,183
202390041,lolo,,http://www.lolopdx.com,2940 NE Alberta,Portland,OR,97211,US,45.55904,-122.6351,,503.288.3400,1
202390045,Holiday Inn Portland Downtown/Convention Center,"Located in the vibrant Lloyd Business District of downtown Portland, the Holiday Inn® Portland Downtown/Convention Center brings Portland to you. The hotel is within four blocks of the Oregon Convention Center, the Rose Garden Arena and the Memorial Coliseum. The Lloyd Center Mall (Oregon’s largest tax-free shopping mall) is also within walking distance. ",http://www.hiportland.com,1441 NE 2nd Ave.,Portland,OR,97232,US,45.53415,-122.6637,,(503) 233-2401,2
202390046,Someday Lounge,,,125 NW 5th,Portland,Oregon,97209,null,45.524,-122.676,,,30
202390051,PCC Cascade Campus,,http://www.pcc.edu/about/locations/cascade/ ,705 N. Killingsworth St.,Portland,OR,97217,US,45.56269,-122.674,,,16
202390052,Oregon Zoo,,http://www.oregonzoo.org,4001 SW Canyon Rd.,Portland,OR,97221-9704,US,45.51027,-122.7157,,503-226-1561,32
202390053,ENTP [OLD ADDRESS],"We are a consultancy and web incubator collective based in Portland, Oregon. We specialize in implementing big ideas.",http://entp.com,618 NW Glisan St,Portland,OR,97209,US,45.52662,-122.6767,,,2
202390054,Pier Coffee,,,600 NW Naito Parkway,Portland,OR,97209,US,45.52762,-122.6724,,,2
